[02:29:36] Main - Start Click 
[02:29:36] [InShuttle] Loading Start
[02:29:49] Main - Stop Click 
[02:29:49] System Mode Changed (Auto -> Stop/Manual). Stop All Conveyors.
[02:29:51] Main - Start Click 
[02:29:51] [InShuttle] Loading Start
[02:29:51] [InShuttle] Loading Start
[02:30:04] [InShuttle] PCB Detected - Temporary Stop
[02:30:04] [InShuttle] Restart Conveyor (Overdrive)
[02:30:06] [InShuttle] Loading Finish (Overdrive Complete)
[02:30:06] [InShuttle][PCB_ID:4]CoolingFinish 
[02:30:06] [InShuttle][TestPass] MoveFrontPos Action
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] MoveABCheck - 4214200Receive -4214200
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:06] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:07] [InShuttle] Move to Front Position
[02:30:08] [InShuttle] Move to Front Position
[02:30:08] [InShuttle] Move to Front Position
[02:30:08] [InShuttle] Move to Front Position
[02:30:08] [InShuttle] Move to Front Position
[02:30:08] [InShuttle] Move to Front Position
[02:30:08] [InShuttle] Move to Front Position
[02:30:08] [InShuttle] Move to Front Position
[02:30:08] [InShuttle] Move to Front Position
[02:30:08] [InShuttle] Move to Front Position
[02:30:08] [InShuttle] Move to Front Position
[02:30:08] [InShuttle] Move to Front Position
[02:30:08] [InShuttle] Move to Front Position
[02:30:08] [InShuttle] Move to Front Position
[02:30:08] MoveABCheck - 4214200Receive -4214200
[02:30:08] [InShuttle] Start Front UnLoading Action
[02:30:11] AddError - InShuttle,Conveyor_Timeout,[Front Rack][PCB_ID:3] Lift->Site[Site3_F_DT3] UnLoading Finish FrontUnLoading Timeout. Check PCB/Sensors.
[02:30:11] Alarm - Conveyor_Timeout
[02:30:11] System Mode Changed (Auto -> Stop/Manual). Stop All Conveyors.
[02:30:31] Main - Main Click
[02:30:36] Main - Start Click 
[02:30:49] Main - Stop Click 
